MODELYEAR,MAKE,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,FUELCONSUMPTION_COMB,CO2EMISSIONS
2014,AUDI,4.2,8,17.6,11,14.6,336
2014,AUDI,4.2,8,21.2,13.4,17.7,407
2014,AUDI,5.2,10,18.8,11.3,15.4,354
2014,AUDI,5.2,10,21.1,13.8,17.8,409
2014,AUDI,4.2,8,17.6,11,14.6,336
2014,AUDI,4.2,8,21.2,13.4,17.7,407
2014,AUDI,5.2,10,18.8,11.3,15.4,354
2014,AUDI,5.2,10,21.1,13.8,17.8,409
2014,AUDI,4.2,8,15.3,10.9,13.3,306
2014,AUDI,4.2,8,15.2,11.3,13.4,308
2014,AUDI,4,8,15.3,9.3,12.6,290
2014,AUDI,3,6,13.2,9.2,11.4,262
2014,AUDI,3,6,14.6,9.8,12.4,285
2014,AUDI,3,6,13.2,9.2,11.4,262
2014,AUDI,3,6,14.6,9.8,12.4,285
2014,AUDI,3,6,13.3,9.5,11.6,267
2014,AUDI,4,8,14.2,9.7,12.2,281
2014,AUDI,4,8,14.2,9.7,12.2,281
2014,AUDI,4,8,15.4,9.8,12.9,297
2014,AUDI,3,6,14.9,10.1,12.7,292
2014,AUDI,2,4,10.4,7.6,9.1,209
2014,AUDI,2,4,10.4,7.6,9.1,209
2014,AUDI,2,4,11.5,8.8,10.3,237
2014,AUDI,2,4,11.5,8.8,10.3,237
2014,BENTLEY,4,8,15.4,9.8,12.9,297
2014,BENTLEY,6,12,18.8,11.5,15.5,356
2014,BENTLEY,4,8,16.8,10.3,13.9,320
2014,BENTLEY,6,12,20,12.2,16.5,380
2014,BENTLEY,4,8,16.7,10.6,14,322
2014,BENTLEY,6,12,20,12.2,16.5,380
2014,BENTLEY,6,12,20,12.2,16.5,380
2014,BENTLEY,6.8,8,22.3,14.9,19,437
2014,BMW,2,4,10,6.5,8.4,193
2014,BMW,2,4,10.4,6.7,8.7,200
2014,BMW,2,4,10.2,7,8.8,202
2014,BMW,2,4,7.6,5.5,6.7,181
2014,BMW,2,4,7.6,5.5,6.7,181
2014,BMW,2,4,10,6.5,8.4,193
2014,BMW,2,4,10.4,6.7,8.7,200
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,3,6,11.4,7.3,9.6,221
2014,BMW,3,6,11.8,7.9,10,230
2014,BMW,3,6,11.7,7.8,9.9,228
2014,BMW,3,6,11.9,8.3,10.3,237
2014,BMW,3,6,11.9,8,10.1,232
2014,BMW,2,4,10,6.5,8.4,193
2014,BMW,2,4,10.4,6.7,8.7,200
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,3,6,11.4,7.3,9.6,221
2014,BMW,3,6,11.8,7.9,10,230
2014,BMW,3,6,11.7,7.8,9.9,228
2014,BMW,3,6,11.9,8.3,10.3,237
2014,BMW,2,4,10.2,7,8.8,202
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,3,6,9.2,6.4,7.9,213
2014,BMW,3,6,11.9,8,10.1,232
2014,BMW,3,6,12.5,8.6,10.7,246
2014,BMW,4.4,8,14.4,9.6,12.2,281
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,3,6,11.9,8,10.1,232
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,4.4,8,14.4,9.6,12.2,281
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,3,6,12.5,8.6,10.7,246
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,6,12,18.7,11.5,15.5,356
2014,BMW,3,6,9.2,7.1,8.3,191
2014,BMW,3,6,10.5,7.9,9.3,214
2014,BMW,3,6,10.5,7.6,9.2,212
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,4.4,8,15,9.8,12.7,292
2014,BMW,4.4,8,17.3,11.5,14.7,338
2014,BMW,4.4,8,16.2,10.9,13.8,317
2014,BMW,4.4,8,17.3,11.5,14.7,338
2014,BMW,4.4,8,16.2,10.9,13.8,317
2014,BMW,4.4,8,17.3,11.5,14.7,338
2014,BMW,4.4,8,16.2,10.9,13.8,317
2014,BMW,4.4,8,17.3,11.5,14.7,338
2014,BMW,4.4,8,16.2,10.9,13.8,317
2014,BMW,2,4,10.6,7.2,9.1,209
2014,BMW,3,6,13.2,8.9,11.3,260
2014,BMW,2,4,11.2,8.5,10,230
2014,BMW,3,6,12.6,9.1,11,253
2014,BMW,3,6,12.9,8.8,11.1,255
2014,BMW,4.4,8,16.3,10.9,13.9,320
2014,BMW,4.4,8,18.1,13.7,16.1,370
2014,BMW,3,6,13.6,9.8,11.9,274
2014,BMW,4.4,8,16.4,11.3,14.1,324
2014,BMW,2,4,10.8,7.1,9.1,209
2014,BMW,2,4,10.4,6.7,8.7,200
2014,BMW,3,6,13.7,10.1,12.1,278
2014,BMW,3,6,12.7,9,11,253
2014,BMW,3,6,13.7,10.1,12.1,278
2014,BUICK,3.6,6,14.3,9.9,12.3,283
2014,BUICK,3.6,6,14.6,10.2,12.6,290
2014,BUICK,1.4,4,9.5,7.2,8.5,196
2014,BUICK,1.4,4,10.2,8,9.2,212
2014,BUICK,3.6,6,13.7,8.7,11.5,264
2014,BUICK,3.6,6,18.4,12.2,15.6,250
2014,BUICK,3.6,6,13.7,8.9,11.5,264
2014,BUICK,3.6,6,19.4,13,16.5,264
2014,BUICK,2.4,4,9.6,6.5,8.2,189
2014,BUICK,2,4,11.5,7.9,9.9,228
2014,BUICK,2,4,11.6,7.5,9.8,225
2014,BUICK,2,4,12.3,8.7,10.7,246
2014,BUICK,2.4,4,9.6,6.5,8.2,189
2014,BUICK,2,4,11.5,7.9,9.9,228
2014,BUICK,2,4,11.6,7.5,9.8,225
2014,BUICK,2.4,4,11.3,7.4,9.5,218
2014,CADILLAC,2,4,11.3,7.5,9.6,221
2014,CADILLAC,2,4,12.1,7.9,10.2,235
2014,CADILLAC,2.5,4,10.5,7.2,9,207
2014,CADILLAC,3.6,6,12.8,8.5,10.9,251
2014,CADILLAC,2,4,11.8,8.1,10.1,232
2014,CADILLAC,3.6,6,13.1,9,11.3,260
2014,CADILLAC,3.6,6,13.2,8.7,11.2,258
2014,CADILLAC,3.6,6,13.3,9,11.4,262
2014,CADILLAC,2,4,11.9,7.9,10.1,232
2014,CADILLAC,3.6,6,12.9,8.2,10.8,248
2014,CADILLAC,2,4,12.6,8.5,10.8,248
2014,CADILLAC,3.6,6,13.1,9,11.3,260
2014,CADILLAC,3.6,6,15.1,9.9,12.8,294
2014,CADILLAC,3,6,12.7,8.9,11,253
2014,CADILLAC,3.6,6,13.3,8.9,11.3,260
2014,CADILLAC,3,6,12.8,9.1,11.1,255
2014,CADILLAC,3.6,6,13.3,9,11.4,262
2014,CADILLAC,6.2,8,19.7,12.9,16.6,382
2014,CADILLAC,6.2,8,16.7,12.5,14.8,340
2014,CADILLAC,6.2,8,19.7,12.9,16.6,382
2014,CADILLAC,6.2,8,16.7,12.5,14.8,340
2014,CADILLAC,6.2,8,19.7,12.9,16.6,382
2014,CADILLAC,6.2,8,16.7,12.5,14.8,340
2014,CADILLAC,6.2,8,17,11.8,14.7,338
2014,CADILLAC,6.2,8,23.3,16.1,20.1,322
2014,CADILLAC,6.2,8,18.8,13.4,16.4,377
2014,CADILLAC,6.2,8,25.7,17.8,22.1,354
2014,CADILLAC,3.6,6,14.3,9.8,12.3,283
2014,CADILLAC,3.6,6,14.8,10.4,12.8,294
2014,CADILLAC,3.6,6,13.6,8.6,11.4,262
2014,CADILLAC,3.6,6,14,9.1,11.8,271
2014,CADILLAC,3.6,6,14.8,9.8,12.6,290
2014,CHEVROLET,3.6,6,13.2,8.7,11.2,258
2014,CHEVROLET,3.6,6,14.2,8.6,11.7,269
2014,CHEVROLET,3.6,6,12.7,7.9,10.5,242
2014,CHEVROLET,6.2,8,15.3,9.8,12.8,294
2014,CHEVROLET,6.2,8,15,9.9,12.7,292
2014,CHEVROLET,6.2,8,19.7,12.9,16.6,382
2014,CHEVROLET,6.2,8,16.7,12.5,14.8,340
2014,CHEVROLET,6.2,8,14.9,8.5,12,276
2014,CHEVROLET,6.2,8,13.7,8.2,11.2,258
2014,CHEVROLET,1.4,4,9.1,6.3,7.8,179
2014,CHEVROLET,1.4,4,9.1,6.3,7.8,179
2014,CHEVROLET,1.8,4,10.5,6.7,8.8,202
2014,CHEVROLET,1.8,4,9.5,6.5,8.2,189
2014,CHEVROLET,2,4,8.7,5.1,7.1,192
2014,CHEVROLET,1.4,4,9.1,6,7.7,177
2014,CHEVROLET,1.4,4,8.4,5.6,7.1,163
2014,CHEVROLET,2.4,4,10.5,7.3,9.1,209
2014,CHEVROLET,3.6,6,13.9,9.6,12,276
2014,CHEVROLET,3.6,6,18.8,13.1,16.2,259
2014,CHEVROLET,2.4,4,11.5,8.2,10,230
2014,CHEVROLET,3.6,6,14.8,9.9,12.6,290
2014,CHEVROLET,3.6,6,19.8,13.6,17,272
2014,CHEVROLET,4.3,6,17.1,12.7,15.1,347
2014,CHEVROLET,5.3,8,18,13.4,15.9,366
2014,CHEVROLET,5.3,8,23.5,17.7,20.9,334
2014,CHEVROLET,5.3,8,18.3,14.2,16.5,380
2014,CHEVROLET,5.3,8,23.7,18.8,21.5,344
2014,CHEVROLET,5.3,8,18.6,13.9,16.5,380
2014,CHEVROLET,5.3,8,23.9,18.5,21.5,344
2014,CHEVROLET,5.3,8,18.3,14.2,16.5,380
2014,CHEVROLET,5.3,8,25.3,19.3,22.6,362
2014,CHEVROLET,5.3,8,18.6,13.9,16.5,380
2014,CHEVROLET,5.3,8,23.9,18.5,21.5,344
2014,CHEVROLET,5.3,8,18.3,14.2,16.5,380
2014,CHEVROLET,5.3,8,25.3,19.3,22.6,362
2014,CHEVROLET,4.8,8,21.1,14.2,18,414
2014,CHEVROLET,6,8,21.9,15,18.8,432
2014,CHEVROLET,6,8,30,20.4,25.7,411
2014,CHEVROLET,4.8,8,21.3,14.3,18.2,419
2014,CHEVROLET,6,8,22.1,15,18.9,435
2014,CHEVROLET,6,8,30.2,20.5,25.8,413
2014,CHEVROLET,2.5,4,11.3,7.5,9.6,221
2014,CHEVROLET,3.6,6,12.6,8.2,10.6,244
2014,CHEVROLET,3.6,6,16.7,11.3,14.3,229
2014,CHEVROLET,2.4,4,10,7,8.7,200
2014,CHEVROLET,2,4,11.5,7.9,9.9,228
2014,CHEVROLET,2.5,4,9.3,6.4,8,184
2014,CHEVROLET,2.4,4,12.2,8.6,10.6,244
2014,CHEVROLET,2.4,4,11.8,8.3,10.2,235
2014,CHEVROLET,4.3,6,13.4,9.9,11.8,271
2014,CHEVROLET,4.3,6,18.9,14.2,16.8,269
2014,CHEVROLET,5.3,8,14.6,10.3,12.7,292
2014,CHEVROLET,5.3,8,19.5,13.7,16.9,270
2014,CHEVROLET,6.2,8,16.3,11.4,14.1,324
2014,CHEVROLET,4.3,6,14.2,10.6,12.6,290
2014,CHEVROLET,4.3,6,20,15.1,17.8,285
2014,CHEVROLET,5.3,8,14.9,10.6,13,299
2014,CHEVROLET,5.3,8,19.9,14.2,17.3,277
2014,CHEVROLET,6.2,8,16.4,11.7,14.3,329
2014,CHEVROLET,1.4,4,9.1,6.7,8,184
2014,CHEVROLET,1.4,4,8.5,6.2,7.5,173
2014,CHEVROLET,1.8,4,9.6,6.6,8.3,191
2014,CHEVROLET,1.8,4,8.9,6.7,7.9,182
2014,CHEVROLET,1.4,4,9.1,6.7,8,184
2014,CHEVROLET,1.4,4,8.5,6.2,7.5,172
2014,CHEVROLET,1.8,4,9.6,6.6,8.3,191
2014,CHEVROLET,1.8,4,8.9,6.7,7.9,182
2014,CHEVROLET,1.4,4,9.4,7,8.3,191
2014,CHEVROLET,1.4,4,8.7,7,7.9,182
2014,CHEVROLET,1.4,4,9.4,7,8.3,191
2014,CHEVROLET,1.4,4,8.7,7,7.9,182
2014,CHEVROLET,1.2,4,7.7,6,6.9,159
2014,CHEVROLET,1.2,4,7.6,6,6.9,159
2014,CHEVROLET,5.3,8,16,11.1,13.8,317
2014,CHEVROLET,5.3,8,21.5,14.6,18.4,294
2014,CHEVROLET,5.3,8,16,11.1,13.8,317
2014,CHEVROLET,5.3,8,21.5,14.6,18.4,294
2014,CHEVROLET,5.3,8,16,11.1,13.8,317
2014,CHEVROLET,5.3,8,21.5,14.6,18.4,294
2014,CHEVROLET,5.3,8,16,11.1,13.8,317
2014,CHEVROLET,5.3,8,21.5,14.6,18.4,294
2014,CHEVROLET,3.6,6,14.3,9.9,12.3,283
2014,CHEVROLET,3.6,6,14.6,10.2,12.6,290
2014,CHEVROLET,1.4,4,9.4,7.1,8.4,193
2014,CHEVROLET,1.4,4,9.1,6.8,8.1,186
2014,CHEVROLET,1.4,4,10,7.8,9,207
2014,CHRYSLER,3.6,6,12.4,7.7,10.3,237
2014,CHRYSLER,2.4,4,11.7,8.2,10.1,232
2014,CHRYSLER,2.4,4,12.9,8.1,10.7,246
2014,CHRYSLER,3.6,6,12.5,8.1,10.5,242
2014,CHRYSLER,3.6,6,17,11.2,14.4,230
2014,CHRYSLER,2.4,4,11.2,8,9.8,225
2014,CHRYSLER,2.4,4,12,7.6,10,230
2014,CHRYSLER,3.6,6,12.5,8.1,10.5,242
2014,CHRYSLER,3.6,6,17,11.2,14.4,230
2014,CHRYSLER,5.7,8,15.8,9.2,12.8,294
2014,CHRYSLER,3.6,6,12.8,8.6,10.9,251
2014,CHRYSLER,5.7,8,16.1,10,13.4,308
2014,CHRYSLER,3.6,6,12.8,8.6,10.9,251
2014,CHRYSLER,3.6,6,17.3,11.7,14.8,237
2014,CHRYSLER,3.6,6,12.4,7.7,10.3,237
2014,CHRYSLER,3.6,6,16.8,10.3,13.9,222
2014,CHRYSLER,6.4,8,16.7,10.3,13.8,317
2014,CHRYSLER,3.6,6,14.1,9.5,12,276
2014,CHRYSLER,3.6,6,19.7,13.3,16.8,269
2014,DODGE,2.4,4,11.2,8,9.8,225
2014,DODGE,2.4,4,12,7.6,10,230
2014,DODGE,3.6,6,12.5,8.1,10.5,242
2014,DODGE,3.6,6,17,11.2,14.4,230
2014,DODGE,3.6,6,13.2,8.7,11.2,258
2014,DODGE,5.7,8,15.6,10,13.1,301
2014,DODGE,5.7,8,15.8,9.2,12.8,294
2014,DODGE,6.4,8,16.8,10.4,13.9,320
2014,DODGE,6.4,8,16.7,10.3,13.8,317
2014,DODGE,3.6,6,13.2,8.7,11.2,258
2014,DODGE,3.6,6,12.4,7.7,10.3,237
2014,DODGE,5.7,8,15.8,9.2,12.8,294
2014,DODGE,3.6,6,12.8,8.6,10.9,251
2014,DODGE,5.7,8,16.1,10,13.4,308
2014,DODGE,3.6,6,12.8,8.6,10.9,251
2014,DODGE,3.6,6,17.3,11.7,14.8,237
2014,DODGE,3.6,6,13.2,8.7,11.2,258
2014,DODGE,3.6,6,18.3,12.6,15.7,251
2014,DODGE,3.6,6,12.3,7.6,10.2,235
2014,DODGE,3.6,6,16.8,10.3,13.9,222
2014,DODGE,6.4,8,16.7,10.3,13.8,317
2014,DODGE,2,4,9.4,6.5,8.1,186
2014,DODGE,2.4,4,10.1,6.8,8.6,198
2014,DODGE,2.4,4,10.5,6.7,8.8,202
2014,DODGE,2,4,9.9,7,8.6,198
2014,DODGE,2,4,14.2,9.8,12.2,195
2014,DODGE,2.4,4,10.6,7.5,9.2,212
2014,DODGE,2.4,4,10.2,7,8.8,202
2014,DODGE,1.4,4,8.4,5.9,7.3,168
2014,DODGE,1.4,4,8.5,5.8,7.3,168
2014,DODGE,5.7,8,17.3,10.8,14.4,331
2014,DODGE,3.6,6,13.9,9.8,12.1,278
2014,DODGE,3.6,6,17.7,13,15.6,250
2014,DODGE,3.6,6,13.7,9.4,11.8,271
2014,DODGE,3.6,6,19.2,13.1,16.5,264
2014,DODGE,2.4,4,12.7,9.1,11.1,255
2014,DODGE,3.6,6,14.5,9.9,12.4,285
2014,DODGE,3.6,6,14.2,9.4,12,276
2014,DODGE,3.6,6,18.9,12.9,16.2,259
2014,FIAT,1.4,4,8.5,6.9,7.8,179
2014,FIAT,1.4,4,8.5,6.9,7.8,179
2014,FIAT,1.4,4,8.7,6.9,7.9,182
2014,FIAT,1.4,4,7.9,6.3,7.2,166
2014,FIAT,1.4,4,8.5,6.9,7.8,179
2014,FIAT,1.4,4,8.7,6.9,7.9,182
2014,FIAT,1.4,4,7.6,5.9,6.8,156
2014,FIAT,1.4,4,8.5,6.9,7.8,179
2014,FIAT,1.4,4,10,7.2,8.7,200
2014,FIAT,1.4,4,9.3,7.2,8.4,193
2014,FORD,2,4,5.6,6.4,6,138
2014,FORD,4.6,8,17.7,14.4,16.2,373
2014,FORD,4.6,8,24.1,19.2,21.9,350
2014,FORD,5.4,8,19.3,14.7,17.2,396
2014,FORD,5.4,8,24.9,19.6,22.5,360
2014,FORD,4.6,8,18.6,14.6,16.8,386
2014,FORD,4.6,8,25.5,20,23,368
2014,FORD,6.8,10,23.9,17.8,21.2,488
2014,FORD,5.4,8,20.6,15.5,18.3,421
2014,FORD,5.4,8,26.7,20.5,23.9,382
2014,FORD,2,4,11.3,7.9,9.8,225
2014,FORD,3.5,6,12.6,8.7,10.8,248
2014,FORD,3.5,6,13.3,9.3,11.5,264
2014,FORD,3.7,6,13.7,10.4,12.2,281
2014,FORD,1.6,4,10.4,7.4,9.1,209
2014,FORD,2,4,10.9,8,9.6,221
2014,FORD,2.5,4,10.9,7.5,9.4,216
2014,FORD,1.6,4,10.5,7.9,9.3,214
2014,FORD,2,4,11.2,8.5,10,230
2014,FORD,5.4,8,18.2,13.3,16,368
2014,FORD,5.4,8,24.5,18,21.6,346
2014,FORD,2,4,11.8,8.3,10.2,235
2014,FORD,3.5,6,14.8,10.7,13,299
2014,FORD,3.5,6,13.7,9.7,11.9,274
2014,FORD,3.5,6,18.3,12.9,15.9,254
2014,FORD,3.5,6,14.3,10.3,12.5,288
2014,FORD,3.5,6,18.9,13.9,16.7,267
2014,FORD,3.5,6,14.5,10.6,12.7,292
2014,FORD,3.5,6,14.6,10.6,12.8,294
2014,FORD,6.2,8,18.3,12.9,15.9,366
2014,FORD,3.5,6,15.9,11.3,13.8,317
2014,FORD,3.5,6,15.4,11,13.4,308
2014,FORD,6.2,8,20.1,14.4,17.5,402
2014,FORD,3.7,6,14,10.3,12.3,283
2014,FORD,3.7,6,18.8,13.7,16.5,264
2014,FORD,3.7,6,14,10.3,12.3,283
2014,FORD,3.7,6,18.8,13.7,16.5,264
2014,FORD,5,8,16.4,12.3,14.6,336
2014,FORD,5,8,22.1,16.7,19.7,315
2014,FORD,5,8,16.4,12.3,14.6,336
2014,FORD,5,8,22.1,16.7,19.7,315
2014,FORD,3.7,6,15,11.4,13.4,308
2014,FORD,3.7,6,20.2,15.3,18,288
2014,FORD,3.7,6,15,11.4,13.4,308
2014,FORD,3.7,6,20.2,15.3,18,288
2014,FORD,5,8,16.8,12.6,14.9,343
2014,FORD,5,8,22.4,17,20,320
2014,FORD,5,8,16.7,12.5,14.8,340
2014,FORD,5,8,22.4,16.9,19.9,318
2014,FORD,6.2,8,20.4,15,18,414
2014,FORD,1.6,4,8.5,6.5,7.6,175
2014,FORD,1.6,4,8.6,6.4,7.6,175
2014,FORD,1,4,7.5,5.5,6.6,152
2014,FORD,1.6,4,8,5.8,7,161
2014,FORD,1.6,4,8.9,6.8,8,184
2014,FORD,3.5,6,13.2,9.4,11.5,264
2014,FORD,3.5,6,13.7,10.2,12.1,278
2014,FORD,3.5,6,14.8,10.4,12.8,294
2014,FORD,2,4,10.2,7.4,8.9,205
2014,FORD,2,4,8.8,6.4,7.7,177
2014,FORD,2,4,11.7,8.5,10.3,165
2014,FORD,2,4,8.9,6.4,7.8,179
2014,FORD,2,4,11.7,8.5,10.3,165
2014,FORD,2,4,9.1,6.6,8,184
2014,FORD,2,4,11.9,8.9,10.6,170
2014,FORD,2,4,8.4,5.8,7.2,166
2014,FORD,2,4,11.6,8.3,10.1,162
2014,FORD,1.5,4,10.1,6.6,8.5,196
2014,FORD,1.6,4,9.4,6.4,8.1,186
2014,FORD,2,4,10.5,7.1,9,207
2014,FORD,2.5,4,10.5,7,8.9,205
2014,FORD,1.5,4,9.5,6.3,8.1,186
2014,FORD,2,4,10.9,7.5,9.4,216
2014,FORD,2,4,5.3,5.7,5.5,126
2014,FORD,3.7,6,12.1,7.8,10.2,235
2014,FORD,3.7,6,12.7,8.1,10.6,244
2014,FORD,5,8,13.3,9.3,11.5,264
2014,FORD,5,8,15.4,9.4,12.7,292
2014,FORD,5.8,8,15.9,9.9,13.2,304
2014,FORD,3.7,6,12.5,8.2,10.6,244
2014,FORD,2,4,10.5,7.3,9.1,209
2014,FORD,3.5,6,13.7,9.4,11.8,271
2014,FORD,3.5,6,12.1,8.1,10.3,237
2014,FORD,3.5,6,17,11.1,14.3,229
2014,FORD,3.5,6,13,9.1,11.2,258
2014,FORD,3.5,6,18.4,12.5,15.7,251
2014,FORD,1.6,4,10.8,8,9.5,218
2014,FORD,2.5,4,11.3,8.2,9.9,228
2014,FORD,1.6,4,11.5,8.3,10.1,232
2014,FORD,2.5,4,11.9,8.5,10.4,239
2014,GMC,3.6,6,14.3,9.9,12.3,283
2014,GMC,3.6,6,14.9,10.4,12.9,297
2014,GMC,4.3,6,17.1,12.7,15.1,347
2014,GMC,5.3,8,18,13.4,15.9,366
2014,GMC,5.3,8,23.5,17.7,20.9,334
2014,GMC,5.3,8,18.3,14.2,16.5,380
2014,GMC,5.3,8,23.7,18.8,21.5,344
2014,GMC,5.3,8,18.6,13.9,16.5,380
2014,GMC,5.3,8,23.9,18.5,21.5,344
2014,GMC,5.3,8,18.3,14.2,16.5,380
2014,GMC,5.3,8,25.3,19.3,22.6,362
2014,GMC,5.3,8,18.6,13.9,16.5,380
2014,GMC,5.3,8,23.9,18.5,21.5,344
2014,GMC,5.3,8,18.3,14.2,16.5,380
2014,GMC,5.3,8,25.3,19.3,22.6,362
2014,GMC,4.8,8,21.1,14.2,18,414
2014,GMC,6,8,21.9,15,18.8,432
2014,GMC,6,8,30,20.4,25.7,411
2014,GMC,4.8,8,21.3,14.3,18.2,419
2014,GMC,6,8,22.1,15,18.9,435
2014,GMC,6,8,30.2,20.5,25.8,413
2014,GMC,4.3,6,13.4,9.9,11.8,271
2014,GMC,4.3,6,18.9,14.2,16.8,269
2014,GMC,5.3,8,14.6,10.3,12.7,292
2014,GMC,5.3,8,19.5,13.7,16.9,270
2014,GMC,6.2,8,16.3,11.4,14.1,324
2014,GMC,4.3,6,14.2,10.6,12.6,290
2014,GMC,4.3,6,20,15.1,17.8,285
2014,GMC,5.3,8,14.9,10.6,13,299
2014,GMC,5.3,8,19.9,14.2,17.3,277
2014,GMC,6.2,8,16.4,11.7,14.3,329
2014,GMC,2.4,4,10.5,7.3,9.1,209
2014,GMC,3.6,6,13.9,9.6,12,276
2014,GMC,3.6,6,18.8,13.1,16.2,259
2014,GMC,2.4,4,11.5,8.2,10,230
2014,GMC,3.6,6,14.8,9.9,12.6,290
2014,GMC,3.6,6,19.8,13.6,17,272
2014,GMC,5.3,8,16,11.1,13.8,317
2014,GMC,5.3,8,21.5,14.6,18.4,294
2014,GMC,5.3,8,16,11.1,13.8,317
2014,GMC,5.3,8,21.5,14.6,18.4,294
2014,GMC,6.2,8,17,11.8,14.7,338
2014,GMC,6.2,8,23.3,16.1,20.1,322
2014,GMC,6.2,8,18.8,13.4,16.4,377
2014,GMC,6.2,8,25.7,17.8,22.1,354
2014,GMC,5.3,8,16,11.1,13.8,317
2014,GMC,5.3,8,21.5,14.6,18.4,294
2014,GMC,5.3,8,16,11.1,13.8,317
2014,GMC,5.3,8,21.5,14.6,18.4,294
2014,HONDA,2.4,4,9,6.6,7.9,182
2014,HONDA,2.4,4,9.1,6.9,8.1,186
2014,HONDA,2.4,4,10.1,6.9,8.7,200
2014,HONDA,3.5,6,11,6.8,9.1,209
2014,HONDA,3.5,6,11.4,7.3,9.6,221
2014,HONDA,3.5,6,13,8.4,10.9,251
2014,HONDA,2,4,4.7,4.9,4.8,110
2014,HONDA,1.8,4,7.9,6,7,161
2014,HONDA,1.8,4,8.1,6.2,7.2,166
2014,HONDA,1.8,4,8.5,6.6,7.6,175
2014,HONDA,3.5,6,12.5,8.5,10.7,246
2014,HONDA,2.4,4,10.3,7.6,9.1,209
2014,HONDA,2.4,4,10.6,7.9,9.4,216
2014,HONDA,1.5,4,6.6,6,6.3,145
2014,HONDA,1.5,4,7.6,6.1,6.9,159
2014,HONDA,1.5,4,8.3,6.5,7.5,172
2014,HONDA,1.5,4,8.3,6.9,7.7,177
2014,HONDA,3.5,6,12.3,8.5,10.6,244
2014,HONDA,3.5,6,13.3,9.3,11.5,265
2014,HONDA,3.5,6,13.9,9.7,12,276
2014,HONDA,3.5,6,15.2,11.3,13.4,308
2014,HYUNDAI,1.6,4,8.8,6.3,7.7,177
2014,HYUNDAI,1.6,4,8.7,6.4,7.7,177
2014,HYUNDAI,2,4,9.8,7.2,8.6,198
2014,HYUNDAI,2,4,9.8,7,8.5,196
